gene
StHeBC4_c_c10375_g0_i1
StHeBC4_c_c10596_g0_i1
StHeBC4_c_c10813_g0_i1
StHeBC4_c_c11043_g0_i2
StHeBC4_c_c11828_g0_i1
StHeBC4_c_c12009_g0_i1
StHeBC4_c_c12009_g1_i1
StHeBC4_c_c12018_g0_i1
StHeBC4_c_c12111_g17_i2
StHeBC4_c_c12111_g3_i1
StHeBC4_c_c12189_g10_i1
StHeBC4_c_c12189_g8_i1
StHeBC4_c_c12739_g3_i2
StHeBC4_c_c12815_g2_i2
StHeBC4_c_c12903_g10055_i4
StHeBC4_c_c12903_g10118_i1
StHeBC4_c_c12903_g10123_i1
StHeBC4_c_c12903_g10180_i1
StHeBC4_c_c12903_g10198_i1
StHeBC4_c_c12903_g10208_i1
StHeBC4_c_c12903_g10274_i1
StHeBC4_c_c12903_g10297_i1
StHeBC4_c_c12903_g10300_i1
StHeBC4_c_c12903_g10301_i1
StHeBC4_c_c12903_g10371_i1
StHeBC4_c_c12903_g10374_i1
StHeBC4_c_c12903_g10379_i1
StHeBC4_c_c12903_g1040_i1
StHeBC4_c_c12903_g10424_i1
StHeBC4_c_c12903_g10435_i4
StHeBC4_c_c12903_g10463_i1
StHeBC4_c_c12903_g10560_i1
StHeBC4_c_c12903_g10714_i1
StHeBC4_c_c12903_g1086_i1
StHeBC4_c_c12903_g10919_i1
StHeBC4_c_c12903_g1095_i1
StHeBC4_c_c12903_g1105_i1
StHeBC4_c_c12903_g11185_i2
StHeBC4_c_c12903_g11244_i1
StHeBC4_c_c12903_g11535_i1
StHeBC4_c_c12903_g11678_i1
StHeBC4_c_c12903_g11730_i2
StHeBC4_c_c12903_g11813_i8
StHeBC4_c_c12903_g11840_i3
StHeBC4_c_c12903_g11846_i1
StHeBC4_c_c12903_g11909_i1
StHeBC4_c_c12903_g11967_i1
StHeBC4_c_c12903_g12132_i1
StHeBC4_c_c12903_g12139_i1
StHeBC4_c_c12903_g12171_i1
StHeBC4_c_c12903_g1223_i1
StHeBC4_c_c12903_g12230_i1
StHeBC4_c_c12903_g12251_i1
StHeBC4_c_c12903_g12313_i1
StHeBC4_c_c12903_g12330_i1
StHeBC4_c_c12903_g12342_i1
StHeBC4_c_c12903_g12428_i1
StHeBC4_c_c12903_g1244_i1
StHeBC4_c_c12903_g12489_i1
StHeBC4_c_c12903_g12495_i2
StHeBC4_c_c12903_g12590_i1
